,Character,Usage Rate,Date
622,ダルシム,0.982,08-2018
623,ファン,0.753,08-2018
624,リュウ,8.955,09-2018
625,豪鬼,8.539,09-2018
626,ケン,6.464,09-2018
627,ガイル,5.156,09-2018
628,サガット,5.137,09-2018
629,キャミィ,4.484,09-2018
630,G,4.0,09-2018
631,ベガ,3.535,09-2018
632,かりん,3.184,09-2018
633,ザンギエフ,3.13,09-2018
634,ユリアン,2.773,09-2018
635,いぶき,2.671,09-2018
636,レインボー・ミカ,2.561,09-2018
637,ナッシュ,2.453,09-2018
638,コーディー,2.393,09-2018
639,アビゲイル,2.367,09-2018
640,ララ,2.362,09-2018
641,ジュリ,2.293,09-2018
642,バイソン,2.224,09-2018
643,アレックス,2.179,09-2018
644,エド,2.105,09-2018
645,春麗,2.068,09-2018
646,コーリン,2.063,09-2018
647,是空,2.06,09-2018
648,さくら,2.048,09-2018
649,バーディー,1.897,09-2018
650,ネカリ,1.812,09-2018
651,バルログ,1.652,09-2018
652,ラシード,1.639,09-2018
653,メナト,1.377,09-2018
654,ブランカ,1.277,09-2018
655,ファルケ,1.206,09-2018
656,ダルシム,1.096,09-2018
657,ファン,0.843,09-2018
658,リュウ,9.414,10-2018
659,豪鬼,8.909,10-2018
660,ケン,6.968,10-2018
661,ガイル,5.369,10-2018
662,キャミィ,4.215,10-2018
663,サガット,3.725,10-2018
664,ベガ,3.536,10-2018
665,ザンギエフ,3.477,10-2018
666,かりん,3.205,10-2018
667,ユリアン,2.901,10-2018
668,いぶき,2.701,10-2018
669,G,2.656,10-2018
670,レインボー・ミカ,2.588,10-2018
671,アビゲイル,2.579,10-2018
672,ナッシュ,2.562,10-2018
673,ララ,2.404,10-2018
674,アレックス,2.315,10-2018
675,ジュリ,2.313,10-2018
676,春麗,2.232,10-2018
677,コーディー,2.211,10-2018
678,バイソン,2.186,10-2018
679,是空,2.122,10-2018
680,コーリン,2.082,10-2018
681,エド,2.072,10-2018
682,さくら,1.971,10-2018
683,ネカリ,1.911,10-2018
684,バーディー,1.91,10-2018
685,ラシード,1.813,10-2018
686,バルログ,1.806,10-2018
687,ブランカ,1.345,10-2018
688,メナト,1.328,10-2018
689,ダルシム,1.165,10-2018
690,ファルケ,1.069,10-2018
691,ファン,0.942,10-2018
692,リュウ,9.87,11-2018
693,豪鬼,8.847,11-2018
694,ケン,7.104,11-2018
695,ガイル,5.431,11-2018
696,キャミィ,4.284,11-2018
697,ベガ,3.93,11-2018
698,ザンギエフ,3.333,11-2018
699,かりん,3.329,11-2018
700,サガット,3.099,11-2018
701,ユリアン,2.98,11-2018
702,いぶき,2.648,11-2018
703,ナッシュ,2.636,11-2018
704,レインボー・ミカ,2.621,11-2018
705,アビゲイル,2.559,11-2018
706,ララ,2.488,11-2018
707,アレックス,2.406,11-2018
708,G,2.38,11-2018
709,ジュリ,2.374,11-2018
710,コーディー,2.181,11-2018
711,バイソン,2.178,11-2018
712,春麗,2.123,11-2018
713,エド,2.09,11-2018
714,さくら,2.079,11-2018
715,是空,2.053,11-2018
716,コーリン,2.037,11-2018
717,ネカリ,1.845,11-2018
718,バーディー,1.832,11-2018
719,ラシード,1.796,11-2018
720,バルログ,1.736,11-2018
721,ブランカ,1.379,11-2018
722,メナト,1.23,11-2018
723,ダルシム,1.153,11-2018
724,ファルケ,0.992,11-2018
725,ファン,0.982,11-2018
726,リュウ,10.886,12-2018
727,影ナル者,8.949,12-2018
728,豪鬼,7.031,12-2018
729,ケン,6.309,12-2018
730,ガイル,4.09,12-2018
731,ベガ,3.652,12-2018
732,キャミィ,3.607,12-2018
733,ザンギエフ,3.33,12-2018
734,かりん,3.155,12-2018
735,サガット,2.685,12-2018
736,さくら,2.594,12-2018
737,アレックス,2.488,12-2018
738,ユリアン,2.418,12-2018
739,ナッシュ,2.322,12-2018
740,ジュリ,2.21,12-2018
741,いぶき,2.162,12-2018
742,ララ,2.144,12-2018
743,春麗,2.118,12-2018
744,レインボー・ミカ,2.115,12-2018
745,コーディー,2.096,12-2018
746,是空,2.04,12-2018
747,G,1.988,12-2018
748,コーリン,1.933,12-2018
749,エド,1.913,12-2018
750,バイソン,1.911,12-2018
751,アビゲイル,1.877,12-2018
752,バーディー,1.667,12-2018
753,バルログ,1.656,12-2018
754,ラシード,1.629,12-2018
755,ネカリ,1.5,12-2018
756,ファルケ,1.312,12-2018
757,ブランカ,1.157,12-2018
758,ダルシム,1.081,12-2018
759,メナト,1.069,12-2018
760,ファン,0.906,12-2018
761,リュウ,11.402,01-2019
762,豪鬼,7.253,01-2019
763,影ナル者,6.708,01-2019
764,ケン,6.364,01-2019
765,ザンギエフ,3.934,01-2019
766,ベガ,3.903,01-2019
767,ガイル,3.656,01-2019
768,かりん,3.465,01-2019
769,キャミィ,3.142,01-2019
770,是空,2.668,01-2019
771,さくら,2.629,01-2019
772,アレックス,2.578,01-2019
773,サガット,2.564,01-2019
774,ユリアン,2.394,01-2019
775,いぶき,2.36,01-2019
776,ナッシュ,2.179,01-2019
777,コーディー,2.161,01-2019
778,春麗,2.155,01-2019
779,バーディー,2.142,01-2019
780,レインボー・ミカ,2.13,01-2019
781,ジュリ,2.116,01-2019
782,ララ,2.073,01-2019
783,G,2.066,01-2019
784,バイソン,2.014,01-2019
785,コーリン,1.992,01-2019
786,エド,1.845,01-2019
787,ラシード,1.71,01-2019
788,アビゲイル,1.695,01-2019
789,バルログ,1.626,01-2019
790,ネカリ,1.535,01-2019
791,ファルケ,1.454,01-2019
792,ブランカ,1.148,01-2019
793,ダルシム,1.105,01-2019
794,メナト,0.923,01-2019
795,ファン,0.91,01-2019
796,リュウ,10.8,02-2019
797,豪鬼,7.816,02-2019
798,ケン,6.516,02-2019
799,影ナル者,4.696,02-2019
800,ガイル,4.143,02-2019
801,ザンギエフ,4.022,02-2019
802,ベガ,3.93,02-2019
803,かりん,3.582,02-2019
804,キャミィ,3.377,02-2019
805,ユリアン,2.779,02-2019
806,バーディー,2.753,02-2019
807,サガット,2.533,02-2019
808,是空,2.482,02-2019
809,さくら,2.481,02-2019
810,いぶき,2.417,02-2019
811,アレックス,2.385,02-2019
812,ナッシュ,2.228,02-2019
813,レインボー・ミカ,2.175,02-2019
814,春麗,2.174,02-2019
815,ジュリ,2.13,02-2019
816,G,2.091,02-2019
817,バイソン,2.09,02-2019
818,コーディー,2.089,02-2019
819,コーリン,2.075,02-2019
820,ララ,2.074,02-2019
821,エド,1.872,02-2019
822,アビゲイル,1.737,02-2019
823,ネカリ,1.686,02-2019
824,ラシード,1.669,02-2019
825,バルログ,1.666,02-2019
826,ブランカ,1.26,02-2019
827,ファルケ,1.222,02-2019
828,ダルシム,1.214,02-2019
829,メナト,0.963,02-2019
830,ファン,0.874,02-2019
831,リュウ,10.335,03-2019
832,豪鬼,7.828,03-2019
833,ケン,6.499,03-2019
834,ガイル,4.456,03-2019
835,ザンギエフ,4.172,03-2019
836,影ナル者,4.055,03-2019
837,ベガ,3.946,03-2019
838,かりん,3.916,03-2019
839,キャミィ,3.392,03-2019
840,ユリアン,2.774,03-2019
841,バーディー,2.603,03-2019
842,サガット,2.49,03-2019
843,いぶき,2.463,03-2019
844,アレックス,2.455,03-2019
845,さくら,2.454,03-2019
846,是空,2.419,03-2019
847,ジュリ,2.248,03-2019
848,ナッシュ,2.24,03-2019
849,春麗,2.217,03-2019
850,バイソン,2.154,03-2019
851,ララ,2.114,03-2019
852,コーリン,2.11,03-2019
